threshold,baks,baus,geometric_mean
0.1,0.0845,0.5875,0.2228
0.1163,0.0968,0.5271,0.2259
0.1327,0.1078,0.4715,0.2254
0.149,0.1173,0.4193,0.2218
0.1653,0.124,0.3712,0.2145
0.1816,0.1329,0.3307,0.2096
0.198,0.1385,0.2938,0.2017
0.2143,0.1472,0.261,0.196
0.2306,0.1545,0.2293,0.1882
0.2469,0.1606,0.1999,0.1792
0.2633,0.1651,0.1729,0.169
0.2796,0.1688,0.1494,0.1588
0.2959,0.1741,0.126,0.1481
0.3122,0.1774,0.1056,0.1369
0.3286,0.1808,0.0865,0.1251
0.3449,0.1847,0.0686,0.1126
0.3612,0.1884,0.0546,0.1014
0.3776,0.1912,0.042,0.0896
0.3939,0.1934,0.0321,0.0788
0.4102,0.1942,0.0223,0.0658
0.4265,0.1962,0.0167,0.0572
0.4429,0.1976,0.0122,0.0491
0.4592,0.1976,0.0087,0.0415
0.4755,0.1987,0.0058,0.0339
0.4918,0.1998,0.0036,0.0268
0.5082,0.2001,0.0019,0.0195
0.5245,0.2001,0.001,0.0141
0.5408,0.2001,0.0006,0.011
0.5571,0.2001,0.0002,0.0063
0.5735,0.2001,0.0001,0.0045
0.5898,0.2001,0.0,0.0
0.6061,0.2001,0.0,0.0
0.6224,0.2001,0.0,0.0
0.6388,0.2001,0.0,0.0
0.6551,0.2001,0.0,0.0
0.6714,0.2001,0.0,0.0
0.6878,0.2001,0.0,0.0
0.7041,0.2001,0.0,0.0
0.7204,0.2001,0.0,0.0
0.7367,0.2001,0.0,0.0
0.7531,0.2001,0.0,0.0
0.7694,0.2001,0.0,0.0
0.7857,0.2001,0.0,0.0
0.802,0.2001,0.0,0.0
0.8184,0.2001,0.0,0.0
0.8347,0.2001,0.0,0.0
0.851,0.2001,0.0,0.0
0.8673,0.2001,0.0,0.0
0.8837,0.2001,0.0,0.0
0.9,0.2001,0.0,0.0
