threshold,baks,baus,geometric_mean
0.1,0.0688,0.6956,0.2188
0.1163,0.0789,0.6532,0.227
0.1327,0.0873,0.6097,0.2307
0.149,0.0951,0.5698,0.2328
0.1653,0.1058,0.5313,0.2371
0.1816,0.1125,0.4954,0.2361
0.198,0.1226,0.4601,0.2375
0.2143,0.1326,0.4282,0.2383
0.2306,0.141,0.3999,0.2375
0.2469,0.1533,0.3704,0.2383
0.2633,0.1595,0.3427,0.2338
0.2796,0.1645,0.3161,0.228
0.2959,0.1718,0.2915,0.2238
0.3122,0.1785,0.2673,0.2184
0.3286,0.1802,0.2461,0.2106
0.3449,0.1875,0.2241,0.205
0.3612,0.1959,0.2044,0.2001
0.3776,0.197,0.1857,0.1913
0.3939,0.1987,0.1676,0.1825
0.4102,0.2037,0.1484,0.1739
0.4265,0.2087,0.1319,0.1659
0.4429,0.2143,0.1152,0.1571
0.4592,0.2177,0.0995,0.1472
0.4755,0.2222,0.0833,0.136
0.4918,0.2266,0.0689,0.125
0.5082,0.2289,0.0551,0.1123
0.5245,0.2311,0.0412,0.0976
0.5408,0.2339,0.0291,0.0825
0.5571,0.2356,0.0199,0.0685
0.5735,0.2384,0.0127,0.055
0.5898,0.2401,0.0078,0.0433
0.6061,0.2406,0.004,0.031
0.6224,0.2406,0.0016,0.0196
0.6388,0.2406,0.0005,0.011
0.6551,0.2406,0.0003,0.0085
0.6714,0.2406,0.0001,0.0049
0.6878,0.2406,0.0,0.0
0.7041,0.2406,0.0,0.0
0.7204,0.2406,0.0,0.0
0.7367,0.2406,0.0,0.0
0.7531,0.2406,0.0,0.0
0.7694,0.2406,0.0,0.0
0.7857,0.2406,0.0,0.0
0.802,0.2406,0.0,0.0
0.8184,0.2406,0.0,0.0
0.8347,0.2406,0.0,0.0
0.851,0.2406,0.0,0.0
0.8673,0.2406,0.0,0.0
0.8837,0.2406,0.0,0.0
0.9,0.2406,0.0,0.0
