threshold,baks,baus,geometric_mean
0.1,0.0459,0.7903,0.1905
0.1163,0.0532,0.7617,0.2013
0.1327,0.0604,0.7343,0.2106
0.149,0.0655,0.7055,0.215
0.1653,0.0739,0.68,0.2242
0.1816,0.0828,0.655,0.2329
0.198,0.0907,0.628,0.2387
0.2143,0.0957,0.6001,0.2396
0.2306,0.1063,0.5708,0.2463
0.2469,0.1136,0.5423,0.2482
0.2633,0.1214,0.514,0.2498
0.2796,0.1315,0.4854,0.2526
0.2959,0.1377,0.4562,0.2506
0.3122,0.1455,0.4277,0.2495
0.3286,0.1505,0.3989,0.245
0.3449,0.1595,0.3689,0.2426
0.3612,0.1673,0.339,0.2381
0.3776,0.1718,0.3124,0.2317
0.3939,0.178,0.2845,0.225
0.4102,0.183,0.2578,0.2172
0.4265,0.1875,0.2341,0.2095
0.4429,0.1919,0.2118,0.2016
0.4592,0.1975,0.1903,0.1939
0.4755,0.202,0.1692,0.1849
0.4918,0.2059,0.151,0.1763
0.5082,0.2098,0.131,0.1658
0.5245,0.2143,0.1134,0.1559
0.5408,0.2166,0.0969,0.1449
0.5571,0.2216,0.081,0.134
0.5735,0.2255,0.0656,0.1216
0.5898,0.2283,0.0517,0.1086
0.6061,0.2306,0.0395,0.0954
0.6224,0.2317,0.0287,0.0815
0.6388,0.2345,0.0198,0.0681
0.6551,0.2378,0.0115,0.0523
0.6714,0.2406,0.0063,0.0389
0.6878,0.2406,0.0026,0.025
0.7041,0.2406,0.0009,0.0147
0.7204,0.2406,0.0002,0.0069
0.7367,0.2406,0.0001,0.0049
0.7531,0.2406,0.0,0.0
0.7694,0.2406,0.0,0.0
0.7857,0.2406,0.0,0.0
0.802,0.2406,0.0,0.0
0.8184,0.2406,0.0,0.0
0.8347,0.2406,0.0,0.0
0.851,0.2406,0.0,0.0
0.8673,0.2406,0.0,0.0
0.8837,0.2406,0.0,0.0
0.9,0.2406,0.0,0.0
