threshold,baks,baus,geometric_mean
0.1,0.0453,0.8294,0.1938
0.1163,0.0526,0.7998,0.2051
0.1327,0.0599,0.7712,0.2149
0.149,0.0699,0.7428,0.2279
0.1653,0.0778,0.7147,0.2358
0.1816,0.0834,0.6882,0.2396
0.198,0.0923,0.6606,0.2469
0.2143,0.099,0.6338,0.2505
0.2306,0.108,0.6073,0.2561
0.2469,0.1136,0.5833,0.2574
0.2633,0.1214,0.557,0.26
0.2796,0.1265,0.5294,0.2588
0.2959,0.1349,0.5025,0.2604
0.3122,0.1416,0.4734,0.2589
0.3286,0.1477,0.4459,0.2566
0.3449,0.155,0.4175,0.2544
0.3612,0.1628,0.3886,0.2515
0.3776,0.1718,0.3598,0.2486
0.3939,0.178,0.33,0.2424
0.4102,0.1869,0.3027,0.2379
0.4265,0.1959,0.2756,0.2324
0.4429,0.2071,0.249,0.2271
0.4592,0.2138,0.2261,0.2199
0.4755,0.2216,0.2029,0.212
0.4918,0.2278,0.1805,0.2028
0.5082,0.2322,0.1582,0.1917
0.5245,0.2356,0.1371,0.1797
0.5408,0.2406,0.1173,0.168
0.5571,0.2457,0.0996,0.1564
0.5735,0.249,0.0809,0.1419
0.5898,0.2535,0.0622,0.1256
0.6061,0.2563,0.046,0.1086
0.6224,0.2585,0.0322,0.0912
0.6388,0.2619,0.021,0.0742
0.6551,0.263,0.0133,0.0591
0.6714,0.263,0.0066,0.0417
0.6878,0.263,0.0031,0.0286
0.7041,0.2641,0.0008,0.0145
0.7204,0.2641,0.0002,0.0073
0.7367,0.2647,0.0,0.0
0.7531,0.2647,0.0,0.0
0.7694,0.2647,0.0,0.0
0.7857,0.2647,0.0,0.0
0.802,0.2647,0.0,0.0
0.8184,0.2647,0.0,0.0
0.8347,0.2647,0.0,0.0
0.851,0.2647,0.0,0.0
0.8673,0.2647,0.0,0.0
0.8837,0.2647,0.0,0.0
0.9,0.2647,0.0,0.0
