threshold,baks,baus,geometric_mean
0.1,0.0851,0.6396,0.2333
0.1163,0.099,0.5679,0.2371
0.1327,0.1119,0.5029,0.2372
0.149,0.1276,0.4516,0.2401
0.1653,0.1393,0.4074,0.2382
0.1816,0.15,0.3672,0.2347
0.198,0.1584,0.3341,0.23
0.2143,0.1662,0.3048,0.2251
0.2306,0.1712,0.2781,0.2182
0.2469,0.1802,0.2528,0.2134
0.2633,0.1852,0.2277,0.2054
0.2796,0.1919,0.205,0.1983
0.2959,0.197,0.1825,0.1896
0.3122,0.2003,0.1595,0.1787
0.3286,0.2076,0.1377,0.1691
0.3449,0.2138,0.117,0.1582
0.3612,0.2177,0.0976,0.1458
0.3776,0.221,0.0802,0.1331
0.3939,0.2266,0.0643,0.1207
0.4102,0.2289,0.0502,0.1072
0.4265,0.2311,0.0395,0.0955
0.4429,0.2345,0.0296,0.0833
0.4592,0.2378,0.0214,0.0713
0.4755,0.2401,0.0141,0.0582
0.4918,0.2412,0.0101,0.0494
0.5082,0.2417,0.0068,0.0405
0.5245,0.2429,0.0047,0.0338
0.5408,0.2429,0.0034,0.0287
0.5571,0.2429,0.0021,0.0226
0.5735,0.2434,0.0012,0.0171
0.5898,0.2434,0.0004,0.0099
0.6061,0.2434,0.0002,0.007
0.6224,0.2434,0.0001,0.0049
0.6388,0.2434,0.0001,0.0049
0.6551,0.2434,0.0,0.0
0.6714,0.2434,0.0,0.0
0.6878,0.2434,0.0,0.0
0.7041,0.2434,0.0,0.0
0.7204,0.2434,0.0,0.0
0.7367,0.2434,0.0,0.0
0.7531,0.2434,0.0,0.0
0.7694,0.2434,0.0,0.0
0.7857,0.2434,0.0,0.0
0.802,0.2434,0.0,0.0
0.8184,0.2434,0.0,0.0
0.8347,0.2434,0.0,0.0
0.851,0.2434,0.0,0.0
0.8673,0.2434,0.0,0.0
0.8837,0.2434,0.0,0.0
0.9,0.2434,0.0,0.0
