threshold,baks,baus,geometric_mean
0.1,0.0431,0.7952,0.1851
0.1163,0.0537,0.7642,0.2026
0.1327,0.0599,0.7343,0.2097
0.149,0.0694,0.7071,0.2215
0.1653,0.0772,0.6792,0.229
0.1816,0.0845,0.6527,0.2348
0.198,0.094,0.6243,0.2422
0.2143,0.0996,0.5976,0.244
0.2306,0.1058,0.5714,0.2459
0.2469,0.1119,0.5429,0.2465
0.2633,0.1203,0.5145,0.2488
0.2796,0.127,0.4844,0.248
0.2959,0.1332,0.4549,0.2462
0.3122,0.1382,0.4253,0.2424
0.3286,0.1433,0.3962,0.2383
0.3449,0.1533,0.3656,0.2367
0.3612,0.1606,0.3377,0.2329
0.3776,0.1679,0.3113,0.2286
0.3939,0.1763,0.2827,0.2232
0.4102,0.1852,0.2564,0.2179
0.4265,0.1919,0.2312,0.2106
0.4429,0.1975,0.2076,0.2025
0.4592,0.2009,0.1842,0.1924
0.4755,0.2065,0.1639,0.184
0.4918,0.2121,0.1439,0.1747
0.5082,0.2154,0.1252,0.1642
0.5245,0.2205,0.1081,0.1544
0.5408,0.2238,0.0904,0.1422
0.5571,0.2294,0.0746,0.1308
0.5735,0.2328,0.0618,0.1199
0.5898,0.2373,0.048,0.1067
0.6061,0.2389,0.0358,0.0925
0.6224,0.2417,0.026,0.0793
0.6388,0.244,0.0169,0.0642
0.6551,0.2479,0.0106,0.0513
0.6714,0.2496,0.0058,0.038
0.6878,0.2507,0.0028,0.0265
0.7041,0.2513,0.0012,0.0174
0.7204,0.2513,0.0003,0.0087
0.7367,0.2513,0.0,0.0
0.7531,0.2513,0.0,0.0
0.7694,0.2513,0.0,0.0
0.7857,0.2513,0.0,0.0
0.802,0.2513,0.0,0.0
0.8184,0.2513,0.0,0.0
0.8347,0.2513,0.0,0.0
0.851,0.2513,0.0,0.0
0.8673,0.2513,0.0,0.0
0.8837,0.2513,0.0,0.0
0.9,0.2513,0.0,0.0
