threshold,baks,baus,geometric_mean
0.1,0.0459,0.8057,0.1923
0.1163,0.052,0.7761,0.2009
0.1327,0.0599,0.748,0.2117
0.149,0.0683,0.7199,0.2217
0.1653,0.0783,0.6922,0.2328
0.1816,0.0839,0.6643,0.2361
0.198,0.0929,0.6355,0.243
0.2143,0.1035,0.6077,0.2508
0.2306,0.1108,0.5787,0.2532
0.2469,0.1198,0.5494,0.2566
0.2633,0.127,0.5206,0.2571
0.2796,0.1337,0.4908,0.2562
0.2959,0.1382,0.4595,0.252
0.3122,0.1449,0.4286,0.2492
0.3286,0.1544,0.3971,0.2476
0.3449,0.1606,0.3665,0.2426
0.3612,0.1684,0.3362,0.2379
0.3776,0.174,0.3081,0.2315
0.3939,0.1824,0.2806,0.2262
0.4102,0.1863,0.2541,0.2176
0.4265,0.1914,0.2291,0.2094
0.4429,0.1992,0.208,0.2036
0.4592,0.2093,0.1867,0.1977
0.4755,0.216,0.1654,0.189
0.4918,0.2222,0.1462,0.1802
0.5082,0.2272,0.1267,0.1697
0.5245,0.23,0.1094,0.1586
0.5408,0.235,0.0914,0.1466
0.5571,0.2389,0.0763,0.135
0.5735,0.244,0.0607,0.1217
0.5898,0.2468,0.0472,0.1079
0.6061,0.2524,0.0347,0.0936
0.6224,0.2552,0.024,0.0783
0.6388,0.2563,0.0143,0.0605
0.6551,0.2563,0.0087,0.0472
0.6714,0.2585,0.0046,0.0345
0.6878,0.2591,0.0018,0.0216
0.7041,0.2602,0.0004,0.0102
0.7204,0.2602,0.0001,0.0051
0.7367,0.2608,0.0,0.0
0.7531,0.2608,0.0,0.0
0.7694,0.2608,0.0,0.0
0.7857,0.2608,0.0,0.0
0.802,0.2608,0.0,0.0
0.8184,0.2608,0.0,0.0
0.8347,0.2608,0.0,0.0
0.851,0.2608,0.0,0.0
0.8673,0.2608,0.0,0.0
0.8837,0.2608,0.0,0.0
0.9,0.2608,0.0,0.0
