threshold,baks,baus,geometric_mean
0.1,0.1164,0.4193,0.2209
0.1163,0.1324,0.3414,0.2126
0.1327,0.1455,0.2705,0.1984
0.149,0.159,0.2126,0.1839
0.1653,0.1699,0.1657,0.1678
0.1816,0.1763,0.1294,0.151
0.198,0.1822,0.0995,0.1346
0.2143,0.1892,0.0766,0.1204
0.2306,0.1939,0.0586,0.1066
0.2469,0.1956,0.0446,0.0934
0.2633,0.1987,0.0344,0.0827
0.2796,0.2004,0.0263,0.0726
0.2959,0.2026,0.0193,0.0625
0.3122,0.2032,0.0142,0.0537
0.3286,0.2043,0.0104,0.0461
0.3449,0.2049,0.0073,0.0387
0.3612,0.2054,0.005,0.032
0.3776,0.206,0.0034,0.0265
0.3939,0.2063,0.0024,0.0223
0.4102,0.2063,0.0016,0.0182
0.4265,0.2063,0.0011,0.0151
0.4429,0.2063,0.0006,0.0111
0.4592,0.2063,0.0004,0.0091
0.4755,0.2063,0.0001,0.0045
0.4918,0.2063,0.0,0.0
0.5082,0.2063,0.0,0.0
0.5245,0.2063,0.0,0.0
0.5408,0.2063,0.0,0.0
0.5571,0.2063,0.0,0.0
0.5735,0.2063,0.0,0.0
0.5898,0.2063,0.0,0.0
0.6061,0.2063,0.0,0.0
0.6224,0.2063,0.0,0.0
0.6388,0.2063,0.0,0.0
0.6551,0.2063,0.0,0.0
0.6714,0.2063,0.0,0.0
0.6878,0.2063,0.0,0.0
0.7041,0.2063,0.0,0.0
0.7204,0.2063,0.0,0.0
0.7367,0.2063,0.0,0.0
0.7531,0.2063,0.0,0.0
0.7694,0.2063,0.0,0.0
0.7857,0.2063,0.0,0.0
0.802,0.2063,0.0,0.0
0.8184,0.2063,0.0,0.0
0.8347,0.2063,0.0,0.0
0.851,0.2063,0.0,0.0
0.8673,0.2063,0.0,0.0
0.8837,0.2063,0.0,0.0
0.9,0.2063,0.0,0.0
