threshold,baks,baus,geometric_mean
0.1,0.1399,0.4492,0.2507
0.1163,0.1623,0.3786,0.2479
0.1327,0.1791,0.316,0.2379
0.149,0.188,0.2606,0.2213
0.1653,0.2048,0.2069,0.2058
0.1816,0.2143,0.1618,0.1862
0.198,0.2283,0.1244,0.1685
0.2143,0.235,0.0953,0.1497
0.2306,0.2429,0.0712,0.1315
0.2469,0.2479,0.0527,0.1143
0.2633,0.2513,0.0382,0.098
0.2796,0.2535,0.028,0.0842
0.2959,0.2557,0.0201,0.0717
0.3122,0.2574,0.0143,0.0607
0.3286,0.258,0.0095,0.0495
0.3449,0.258,0.0069,0.0422
0.3612,0.2585,0.0046,0.0345
0.3776,0.2585,0.003,0.0278
0.3939,0.2585,0.0022,0.0238
0.4102,0.2591,0.0015,0.0197
0.4265,0.2602,0.0009,0.0153
0.4429,0.2602,0.0005,0.0114
0.4592,0.2602,0.0002,0.0072
0.4755,0.2602,0.0002,0.0072
0.4918,0.2602,0.0,0.0
0.5082,0.2602,0.0,0.0
0.5245,0.2602,0.0,0.0
0.5408,0.2602,0.0,0.0
0.5571,0.2602,0.0,0.0
0.5735,0.2602,0.0,0.0
0.5898,0.2602,0.0,0.0
0.6061,0.2602,0.0,0.0
0.6224,0.2602,0.0,0.0
0.6388,0.2602,0.0,0.0
0.6551,0.2602,0.0,0.0
0.6714,0.2602,0.0,0.0
0.6878,0.2602,0.0,0.0
0.7041,0.2602,0.0,0.0
0.7204,0.2602,0.0,0.0
0.7367,0.2602,0.0,0.0
0.7531,0.2602,0.0,0.0
0.7694,0.2602,0.0,0.0
0.7857,0.2602,0.0,0.0
0.802,0.2602,0.0,0.0
0.8184,0.2602,0.0,0.0
0.8347,0.2602,0.0,0.0
0.851,0.2602,0.0,0.0
0.8673,0.2602,0.0,0.0
0.8837,0.2602,0.0,0.0
0.9,0.2602,0.0,0.0
