threshold,baks,baus,geometric_mean
0.1,0.103,0.5914,0.2468
0.1163,0.1198,0.5432,0.2551
0.1327,0.1248,0.4979,0.2493
0.149,0.1349,0.4554,0.2479
0.1653,0.1399,0.4162,0.2413
0.1816,0.1522,0.382,0.2411
0.198,0.16,0.3487,0.2362
0.2143,0.1673,0.3191,0.2311
0.2306,0.174,0.2923,0.2255
0.2469,0.1841,0.268,0.2221
0.2633,0.1891,0.2438,0.2147
0.2796,0.1931,0.2205,0.2063
0.2959,0.1998,0.1986,0.1992
0.3122,0.2076,0.1777,0.1921
0.3286,0.2154,0.1564,0.1835
0.3449,0.2238,0.1368,0.175
0.3612,0.23,0.1178,0.1646
0.3776,0.2356,0.1003,0.1537
0.3939,0.2406,0.0838,0.142
0.4102,0.2434,0.0685,0.1291
0.4265,0.2473,0.0552,0.1168
0.4429,0.2518,0.0432,0.1043
0.4592,0.2535,0.0327,0.091
0.4755,0.2569,0.0239,0.0784
0.4918,0.2619,0.0168,0.0663
0.5082,0.2641,0.0106,0.0529
0.5245,0.2641,0.0069,0.0427
0.5408,0.2652,0.0042,0.0334
0.5571,0.2658,0.0026,0.0263
0.5735,0.2658,0.0015,0.02
0.5898,0.2658,0.0008,0.0146
0.6061,0.2658,0.0002,0.0073
0.6224,0.2658,0.0,0.0
0.6388,0.2664,0.0,0.0
0.6551,0.2664,0.0,0.0
0.6714,0.2664,0.0,0.0
0.6878,0.2664,0.0,0.0
0.7041,0.2664,0.0,0.0
0.7204,0.2664,0.0,0.0
0.7367,0.2664,0.0,0.0
0.7531,0.2664,0.0,0.0
0.7694,0.2664,0.0,0.0
0.7857,0.2664,0.0,0.0
0.802,0.2664,0.0,0.0
0.8184,0.2664,0.0,0.0
0.8347,0.2664,0.0,0.0
0.851,0.2664,0.0,0.0
0.8673,0.2664,0.0,0.0
0.8837,0.2664,0.0,0.0
0.9,0.2664,0.0,0.0
