threshold,baks,baus,geometric_mean
0.1,0.1153,0.5514,0.2521
0.1163,0.1226,0.4978,0.247
0.1327,0.1354,0.4495,0.2467
0.149,0.1455,0.407,0.2433
0.1653,0.1556,0.3695,0.2398
0.1816,0.1645,0.3355,0.2349
0.198,0.1718,0.3022,0.2279
0.2143,0.183,0.2709,0.2227
0.2306,0.188,0.2418,0.2132
0.2469,0.1953,0.2153,0.2051
0.2633,0.2009,0.1909,0.1958
0.2796,0.2065,0.1681,0.1863
0.2959,0.2115,0.1475,0.1766
0.3122,0.2143,0.1267,0.1648
0.3286,0.2177,0.1077,0.1531
0.3449,0.2233,0.0905,0.1422
0.3612,0.2278,0.0743,0.1301
0.3776,0.2311,0.0598,0.1176
0.3939,0.2361,0.0464,0.1047
0.4102,0.2412,0.0362,0.0934
0.4265,0.244,0.0274,0.0818
0.4429,0.2462,0.0194,0.0691
0.4592,0.2473,0.0135,0.0578
0.4755,0.2485,0.0091,0.0476
0.4918,0.2485,0.0062,0.0393
0.5082,0.2496,0.0038,0.0308
0.5245,0.2501,0.0016,0.02
0.5408,0.2501,0.001,0.0158
0.5571,0.2501,0.0005,0.0112
0.5735,0.2501,0.0001,0.005
0.5898,0.2501,0.0,0.0
0.6061,0.2501,0.0,0.0
0.6224,0.2501,0.0,0.0
0.6388,0.2501,0.0,0.0
0.6551,0.2501,0.0,0.0
0.6714,0.2501,0.0,0.0
0.6878,0.2501,0.0,0.0
0.7041,0.2501,0.0,0.0
0.7204,0.2501,0.0,0.0
0.7367,0.2501,0.0,0.0
0.7531,0.2501,0.0,0.0
0.7694,0.2501,0.0,0.0
0.7857,0.2501,0.0,0.0
0.802,0.2501,0.0,0.0
0.8184,0.2501,0.0,0.0
0.8347,0.2501,0.0,0.0
0.851,0.2501,0.0,0.0
0.8673,0.2501,0.0,0.0
0.8837,0.2501,0.0,0.0
0.9,0.2501,0.0,0.0
