threshold,baks,baus,geometric_mean
0.1,0.0974,0.5409,0.2295
0.1163,0.1075,0.4833,0.2279
0.1327,0.1131,0.4296,0.2204
0.149,0.1223,0.3845,0.2169
0.1653,0.1315,0.3436,0.2126
0.1816,0.1408,0.3057,0.2075
0.198,0.145,0.273,0.199
0.2143,0.152,0.2438,0.1925
0.2306,0.1579,0.2148,0.1842
0.2469,0.1648,0.189,0.1765
0.2633,0.1699,0.1648,0.1673
0.2796,0.1766,0.1429,0.1589
0.2959,0.1819,0.1226,0.1493
0.3122,0.1872,0.1028,0.1387
0.3286,0.1912,0.0854,0.1278
0.3449,0.1954,0.0678,0.1151
0.3612,0.1987,0.0532,0.1028
0.3776,0.2018,0.0415,0.0915
0.3939,0.2038,0.0306,0.079
0.4102,0.2052,0.0223,0.0676
0.4265,0.2068,0.0155,0.0566
0.4429,0.2082,0.0109,0.0476
0.4592,0.2088,0.0075,0.0396
0.4755,0.2096,0.005,0.0324
0.4918,0.2102,0.003,0.0251
0.5082,0.2102,0.0018,0.0195
0.5245,0.2107,0.0011,0.0152
0.5408,0.2107,0.0003,0.008
0.5571,0.2107,0.0001,0.0046
0.5735,0.2107,0.0,0.0
0.5898,0.2107,0.0,0.0
0.6061,0.2107,0.0,0.0
0.6224,0.2107,0.0,0.0
0.6388,0.2107,0.0,0.0
0.6551,0.2107,0.0,0.0
0.6714,0.2107,0.0,0.0
0.6878,0.2107,0.0,0.0
0.7041,0.2107,0.0,0.0
0.7204,0.2107,0.0,0.0
0.7367,0.2107,0.0,0.0
0.7531,0.2107,0.0,0.0
0.7694,0.2107,0.0,0.0
0.7857,0.2107,0.0,0.0
0.802,0.2107,0.0,0.0
0.8184,0.2107,0.0,0.0
0.8347,0.2107,0.0,0.0
0.851,0.2107,0.0,0.0
0.8673,0.2107,0.0,0.0
0.8837,0.2107,0.0,0.0
0.9,0.2107,0.0,0.0
