threshold,baks,baus,geometric_mean
0.1,0.0968,0.5477,0.2303
0.1163,0.11,0.4895,0.232
0.1327,0.1181,0.4379,0.2274
0.149,0.1279,0.3964,0.2252
0.1653,0.1366,0.3553,0.2203
0.1816,0.1453,0.3189,0.2153
0.198,0.1528,0.2847,0.2086
0.2143,0.1612,0.2523,0.2017
0.2306,0.1679,0.2238,0.1938
0.2469,0.1741,0.1968,0.1851
0.2633,0.1772,0.1722,0.1747
0.2796,0.1839,0.1476,0.1648
0.2959,0.1864,0.1234,0.1517
0.3122,0.1895,0.1017,0.1388
0.3286,0.1948,0.0835,0.1275
0.3449,0.1982,0.0674,0.1156
0.3612,0.2001,0.0528,0.1028
0.3776,0.2035,0.0411,0.0915
0.3939,0.2052,0.0311,0.0799
0.4102,0.2066,0.023,0.0689
0.4265,0.2074,0.0167,0.0589
0.4429,0.2085,0.0122,0.0504
0.4592,0.2093,0.0084,0.0419
0.4755,0.2096,0.0052,0.033
0.4918,0.2096,0.0034,0.0267
0.5082,0.2096,0.0021,0.021
0.5245,0.2096,0.0012,0.0159
0.5408,0.2096,0.0005,0.0102
0.5571,0.2096,0.0003,0.0079
0.5735,0.2096,0.0001,0.0046
0.5898,0.2096,0.0,0.0
0.6061,0.2096,0.0,0.0
0.6224,0.2096,0.0,0.0
0.6388,0.2096,0.0,0.0
0.6551,0.2096,0.0,0.0
0.6714,0.2096,0.0,0.0
0.6878,0.2096,0.0,0.0
0.7041,0.2096,0.0,0.0
0.7204,0.2096,0.0,0.0
0.7367,0.2096,0.0,0.0
0.7531,0.2096,0.0,0.0
0.7694,0.2096,0.0,0.0
0.7857,0.2096,0.0,0.0
0.802,0.2096,0.0,0.0
0.8184,0.2096,0.0,0.0
0.8347,0.2096,0.0,0.0
0.851,0.2096,0.0,0.0
0.8673,0.2096,0.0,0.0
0.8837,0.2096,0.0,0.0
0.9,0.2096,0.0,0.0
