threshold,baks,baus,geometric_mean
0.1,0.1402,0.3302,0.2152
0.1163,0.1559,0.2481,0.1967
0.1327,0.1679,0.1852,0.1763
0.149,0.1774,0.139,0.157
0.1653,0.1842,0.1018,0.1369
0.1816,0.1884,0.0757,0.1194
0.198,0.1909,0.0544,0.1019
0.2143,0.1942,0.0381,0.086
0.2306,0.1981,0.0275,0.0738
0.2469,0.1993,0.0196,0.0625
0.2633,0.2004,0.0139,0.0528
0.2796,0.2009,0.0102,0.0453
0.2959,0.2012,0.0076,0.0391
0.3122,0.2015,0.0057,0.0339
0.3286,0.2021,0.0044,0.0298
0.3449,0.2023,0.0032,0.0254
0.3612,0.2023,0.0021,0.0206
0.3776,0.2023,0.0015,0.0174
0.3939,0.2026,0.0011,0.0149
0.4102,0.2029,0.0007,0.0119
0.4265,0.2029,0.0004,0.009
0.4429,0.2032,0.0002,0.0064
0.4592,0.2035,0.0001,0.0045
0.4755,0.2035,0.0,0.0
0.4918,0.2035,0.0,0.0
0.5082,0.2035,0.0,0.0
0.5245,0.2035,0.0,0.0
0.5408,0.2035,0.0,0.0
0.5571,0.2035,0.0,0.0
0.5735,0.2035,0.0,0.0
0.5898,0.2035,0.0,0.0
0.6061,0.2035,0.0,0.0
0.6224,0.2035,0.0,0.0
0.6388,0.2035,0.0,0.0
0.6551,0.2035,0.0,0.0
0.6714,0.2035,0.0,0.0
0.6878,0.2035,0.0,0.0
0.7041,0.2035,0.0,0.0
0.7204,0.2035,0.0,0.0
0.7367,0.2035,0.0,0.0
0.7531,0.2035,0.0,0.0
0.7694,0.2035,0.0,0.0
0.7857,0.2035,0.0,0.0
0.802,0.2035,0.0,0.0
0.8184,0.2035,0.0,0.0
0.8347,0.2035,0.0,0.0
0.851,0.2035,0.0,0.0
0.8673,0.2035,0.0,0.0
0.8837,0.2035,0.0,0.0
0.9,0.2035,0.0,0.0
