threshold,baks,baus,geometric_mean
0.1,0.0856,0.6411,0.2343
0.1163,0.0951,0.5872,0.2363
0.1327,0.1069,0.5382,0.2399
0.149,0.1181,0.4922,0.2411
0.1653,0.1321,0.4506,0.244
0.1816,0.1455,0.4102,0.2443
0.198,0.1561,0.3748,0.2419
0.2143,0.1606,0.3395,0.2335
0.2306,0.1684,0.3067,0.2273
0.2469,0.1802,0.2753,0.2227
0.2633,0.1835,0.2478,0.2132
0.2796,0.1886,0.2202,0.2038
0.2959,0.1975,0.1954,0.1964
0.3122,0.202,0.171,0.1859
0.3286,0.2087,0.1481,0.1758
0.3449,0.2138,0.1272,0.1649
0.3612,0.2205,0.1088,0.1549
0.3776,0.2244,0.0903,0.1423
0.3939,0.2278,0.0731,0.129
0.4102,0.2317,0.0588,0.1167
0.4265,0.2345,0.047,0.105
0.4429,0.2356,0.0353,0.0912
0.4592,0.2373,0.0263,0.079
0.4755,0.2389,0.0185,0.0665
0.4918,0.2395,0.0128,0.0554
0.5082,0.2406,0.0089,0.0463
0.5245,0.2412,0.005,0.0347
0.5408,0.2412,0.0031,0.0273
0.5571,0.2417,0.0018,0.0209
0.5735,0.2417,0.001,0.0155
0.5898,0.2417,0.0005,0.011
0.6061,0.2423,0.0002,0.007
0.6224,0.2423,0.0001,0.0049
0.6388,0.2423,0.0,0.0
0.6551,0.2423,0.0,0.0
0.6714,0.2423,0.0,0.0
0.6878,0.2423,0.0,0.0
0.7041,0.2423,0.0,0.0
0.7204,0.2423,0.0,0.0
0.7367,0.2423,0.0,0.0
0.7531,0.2423,0.0,0.0
0.7694,0.2423,0.0,0.0
0.7857,0.2423,0.0,0.0
0.802,0.2423,0.0,0.0
0.8184,0.2423,0.0,0.0
0.8347,0.2423,0.0,0.0
0.851,0.2423,0.0,0.0
0.8673,0.2423,0.0,0.0
0.8837,0.2423,0.0,0.0
0.9,0.2423,0.0,0.0
