threshold,baks,baus,geometric_mean
0.1,0.1979,0.0525,0.1019
0.1163,0.2049,0.011,0.0475
0.1327,0.2065,0.0015,0.0176
0.149,0.2068,0.0002,0.0064
0.1653,0.2071,0.0,0.0
0.1816,0.2071,0.0,0.0
0.198,0.2071,0.0,0.0
0.2143,0.2071,0.0,0.0
0.2306,0.2071,0.0,0.0
0.2469,0.2071,0.0,0.0
0.2633,0.2071,0.0,0.0
0.2796,0.2071,0.0,0.0
0.2959,0.2071,0.0,0.0
0.3122,0.2071,0.0,0.0
0.3286,0.2071,0.0,0.0
0.3449,0.2071,0.0,0.0
0.3612,0.2071,0.0,0.0
0.3776,0.2071,0.0,0.0
0.3939,0.2071,0.0,0.0
0.4102,0.2071,0.0,0.0
0.4265,0.2071,0.0,0.0
0.4429,0.2071,0.0,0.0
0.4592,0.2071,0.0,0.0
0.4755,0.2071,0.0,0.0
0.4918,0.2071,0.0,0.0
0.5082,0.2071,0.0,0.0
0.5245,0.2071,0.0,0.0
0.5408,0.2071,0.0,0.0
0.5571,0.2071,0.0,0.0
0.5735,0.2071,0.0,0.0
0.5898,0.2071,0.0,0.0
0.6061,0.2071,0.0,0.0
0.6224,0.2071,0.0,0.0
0.6388,0.2071,0.0,0.0
0.6551,0.2071,0.0,0.0
0.6714,0.2071,0.0,0.0
0.6878,0.2071,0.0,0.0
0.7041,0.2071,0.0,0.0
0.7204,0.2071,0.0,0.0
0.7367,0.2071,0.0,0.0
0.7531,0.2071,0.0,0.0
0.7694,0.2071,0.0,0.0
0.7857,0.2071,0.0,0.0
0.802,0.2071,0.0,0.0
0.8184,0.2071,0.0,0.0
0.8347,0.2071,0.0,0.0
0.851,0.2071,0.0,0.0
0.8673,0.2071,0.0,0.0
0.8837,0.2071,0.0,0.0
0.9,0.2071,0.0,0.0
