threshold,baks,baus,geometric_mean
0.1,0.1083,0.4916,0.2307
0.1163,0.1245,0.409,0.2257
0.1327,0.1436,0.337,0.22
0.149,0.1598,0.2678,0.2069
0.1653,0.1693,0.2091,0.1882
0.1816,0.1797,0.1606,0.1699
0.198,0.1853,0.1238,0.1515
0.2143,0.1912,0.0943,0.1343
0.2306,0.197,0.0721,0.1192
0.2469,0.2007,0.0542,0.1043
0.2633,0.2029,0.0405,0.0907
0.2796,0.2071,0.0307,0.0797
0.2959,0.2082,0.0234,0.0698
0.3122,0.2091,0.0175,0.0605
0.3286,0.2102,0.0123,0.0508
0.3449,0.2107,0.0088,0.0431
0.3612,0.2116,0.0058,0.035
0.3776,0.2121,0.0039,0.0288
0.3939,0.2121,0.0029,0.0248
0.4102,0.2124,0.0018,0.0196
0.4265,0.2124,0.0012,0.016
0.4429,0.2124,0.0007,0.0122
0.4592,0.2127,0.0004,0.0092
0.4755,0.2127,0.0001,0.0046
0.4918,0.2127,0.0,0.0
0.5082,0.2127,0.0,0.0
0.5245,0.2127,0.0,0.0
0.5408,0.2127,0.0,0.0
0.5571,0.2127,0.0,0.0
0.5735,0.2127,0.0,0.0
0.5898,0.2127,0.0,0.0
0.6061,0.2127,0.0,0.0
0.6224,0.2127,0.0,0.0
0.6388,0.2127,0.0,0.0
0.6551,0.2127,0.0,0.0
0.6714,0.2127,0.0,0.0
0.6878,0.2127,0.0,0.0
0.7041,0.2127,0.0,0.0
0.7204,0.2127,0.0,0.0
0.7367,0.2127,0.0,0.0
0.7531,0.2127,0.0,0.0
0.7694,0.2127,0.0,0.0
0.7857,0.2127,0.0,0.0
0.802,0.2127,0.0,0.0
0.8184,0.2127,0.0,0.0
0.8347,0.2127,0.0,0.0
0.851,0.2127,0.0,0.0
0.8673,0.2127,0.0,0.0
0.8837,0.2127,0.0,0.0
0.9,0.2127,0.0,0.0
